State,Company Type,Company,Name_Part_Affiliation,District,Layer_ID,State_fips,Governor,Gov_party_aff,Senator_1,Senator_1_aff,Senator_1_class,Senator_2,Senator_2_aff,Senator_2_class,Senate_aff
Alabama,IOU,Southern Co,Jerry Carl (R),AL - 1,515,18,Eric Holcomb (R),Republican,Mike Braun (R),Republican,1,Todd Young (R),Republican,3,2R
Alabama,IOU,Southern Co,Barry Moore (R),AL - 2,515,18,Eric Holcomb (R),Republican,Mike Braun (R),Republican,1,Todd Young (R),Republican,3,2R
Alabama,IOU,Southern Co,Mike Rogers (R),AL - 3,515,18,Eric Holcomb (R),Republican,Mike Braun (R),Republican,1,Todd Young (R),Republican,3,2R
Alabama,IOU,Southern Co,Dale Strong (R),AL - 5,515,18,Eric Holcomb (R),Republican,Mike Braun (R),Republican,1,Todd Young (R),Republican,3,2R
Alabama,IOU,Southern Co,Gary Palmer (R),AL - 6,515,39,Mike DeWine (R),Republican,Sherrod Brown (D),Democratic,1,J.D. Vance (R),Republican,3,1D1R
Alabama,IOU,Southern Co,Terri Sewell (D),AL - 7,515,39,Mike DeWine (R),Republican,Sherrod Brown (D),Democratic,1,J.D. Vance (R),Republican,3,1D1R
Alaska,IOU,Avista Corp,Mary Peltola (D),AK - at Large,515,39,Mike DeWine (R),Republican,Sherrod Brown (D),Democratic,1,J.D. Vance (R),Republican,3,1D1R
Arizona,IOU,Pinnacle West Capital Corp,David Schweikert (R),AZ - 1,515,39,Mike DeWine (R),Republican,Sherrod Brown (D),Democratic,1,J.D. Vance (R),Republican,3,1D1R
Arizona,IOU,Pinnacle West Capital Corp,Eli Crane (R),AZ - 2,515,39,Mike DeWine (R),Republican,Sherrod Brown (D),Democratic,1,J.D. Vance (R),Republican,3,1D1R
Arizona,IOU,UNS Energy Corp,Eli Crane (R),AZ - 2,515,39,Mike DeWine (R),Republican,Sherrod Brown (D),Democratic,1,J.D. Vance (R),Republican,3,1D1R
